ID_Cliente,Nome,Idade,Gênero,Estado_Civil,Escolaridade,Renda_Familiar,Despesas_Mensais,Filhos,Situação_Trabalho,Status,Score,Compras_Ultimos_Meses,Tempo_Nome_Serasa,Maior_Diferenca_Social_Financeira,Tipo_Negocio,Valor_Emprestimo,Lucro,Taxa_Crescimento,Nome_Empresa
8f6de515-a94e-4c90-aafb-fedb39c56f41,Diego Monteiro,36,Masculino,Solteiro,Superior Completo,16664,7361.96,3,Empregado,Adimplente,567,13854.48,57,2521.11,Tecnologia,12250,1837.5,-0.705966741602194,Visão Tecnologias
df0fce50-7abd-4b62-8187-e0ebcc6779e6,Ana Beatriz Moraes,46,Masculino,Viúvo,Médio Completo,12993,9223.9,1,Desempregado,Adimplente,733,5437.31,48,8367.02,Autônomo,26797,4019.55,-0.7671480757564062,Visão Indústrias
c9b949ff-e418-4156-b7a5-883ba65fcc8a,Ana Clara Costela,47,Masculino,Casado,Médio Incompleto,11337,11045.91,5,Autônomo,Adimplente,353,8918.53,7,2925.13,Saúde,35271,5290.65,2.356.295.860.437.900,Prime Serviços
0d21837e-841f-4409-9d30-e2b8e499a62c,Dra. Natália da Rocha,40,Feminino,Divorciado,Médio Incompleto,6774,10357.1,3,Empregado,Adimplente,497,7537.96,1,5694.24,Indústria,36620,5493.0,-374.744.039.836.991,Visão Soluções
cdb2d1f4-d175-40ef-bf84-96e37fe4bc86,Maria Luiza Porto,49,Feminino,Divorciado,Pós-Graduação,3729,2727.77,0,Autônomo,Adimplente,756,7979.79,31,3918.31,Educação,32146,4821.9,14.213.651.011.514.200,Tech Soluções
4401ed2e-99ab-4af0-a9b1-3185e6290fb4,Emanuelly Vieira,23,Feminino,Solteiro,Superior Completo,1453,14780.85,1,Desempregado,Adimplente,538,15777.93,33,3081.67,Autônomo,39381,5907.15,2.439.235.049.184.430,Núcleo Parceiros
dc52ea90-515c-4adc-8424-2407fcbfb9f1,João Pedro Gomes,61,Feminino,Solteiro,Superior Completo,8450,11753.23,3,Autônomo,Adimplente,439,18502.63,31,6826.08,Comércio,10439,1565.85,-0.0139619134393145,Bastech
395a75b9-cf60-495a-8218-c37382975a36,Rafaela Araújo,38,Feminino,Divorciado,Pós-Graduação,8997,8118.61,5,Desempregado,Adimplente,345,1976.15,38,4661.7,Logística,9880,1482.0,10.894.163.599.447.300,Pioneira Soluções
f26aaa94-db20-4b8c-bf4b-a54b8105a08b,Sophie Araújo,52,Feminino,Viúvo,Superior Completo,9750,10867.2,4,Autônomo,Adimplente,569,1976.15,48,2725.64,Tecnologia,43636,6545.4,1.561.022.784.726.000,Elite Soluções
7bb06f1a-66e8-42d7-bc3e-6b4007a95e1a,Kevin da Rosa,34,Feminino,Solteiro,Pós-Graduação,3259,14642.38,1,Empregado,Adimplente,424,13514.19,10,3124.56,Indústria,15036,2255.4,20.288.512.176.424.400,Global Soluções
76476633-98ee-4636-a7bd-6679ffa39195,Raul Viana,54,Masculino,Casado,Superior Completo,18372,10353.8,4,Empregado,Adimplente,446,8372.67,23,11796.38,Educação,13862,2079.3,13.080.559.474.584.600,Pioneira Soluções
de9a1eaf-fc42-40e7-a8b7-e9dfecbe0aec,Evelyn Azevedo,46,Feminino,Solteiro,Pós-Graduação,8762,7294.92,3,Autônomo,Adimplente,591,16299.39,19,10768.95,Serviços,43713,6556.95,9.347.374.065.805.470,Global Serviços
f39b8307-aacd-4183-8db1-a63735e93f23,Antônio Duarte,24,Masculino,Casado,Superior Completo,16860,2541.27,3,Desempregado,Adimplente,721,17858.52,57,13497.64,Comércio,13284,1992.6,1.036.287.853.443.100,Global Parceiros
